2021-02-02 01:05:19.410 | INFO     | __main__:<module>:37 - Training 0.2106494005858893
2021-02-02 01:05:19.410 | INFO     | __main__:<module>:37 - Training 0.2106494005858893
2021-02-02 01:05:19.410 | INFO     | __main__:<module>:37 - Training 0.2106494005858893
2021-02-02 01:11:11.230 | INFO     | __main__:<module>:41 - Validation 0.2527690628616902
2021-02-02 01:11:11.230 | INFO     | __main__:<module>:41 - Validation 0.2527690628616902
2021-02-02 01:11:11.230 | INFO     | __main__:<module>:41 - Validation 0.2527690628616902
2021-02-02 01:45:05.999 | INFO     | __main__:<module>:37 - Training 0.19589942936047514
2021-02-02 01:45:05.999 | INFO     | __main__:<module>:37 - Training 0.19589942936047514
2021-02-02 01:45:05.999 | INFO     | __main__:<module>:37 - Training 0.19589942936047514
2021-02-02 01:50:59.583 | INFO     | __main__:<module>:41 - Validation 0.2131017191581342
2021-02-02 01:50:59.583 | INFO     | __main__:<module>:41 - Validation 0.2131017191581342
2021-02-02 01:50:59.583 | INFO     | __main__:<module>:41 - Validation 0.2131017191581342
2021-02-02 02:24:46.193 | INFO     | __main__:<module>:37 - Training 0.18355877017117928
2021-02-02 02:24:46.193 | INFO     | __main__:<module>:37 - Training 0.18355877017117928
2021-02-02 02:24:46.193 | INFO     | __main__:<module>:37 - Training 0.18355877017117928
2021-02-02 02:30:33.349 | INFO     | __main__:<module>:41 - Validation 0.3300476278840498
2021-02-02 02:30:33.349 | INFO     | __main__:<module>:41 - Validation 0.3300476278840498
2021-02-02 02:30:33.349 | INFO     | __main__:<module>:41 - Validation 0.3300476278840498
2021-02-02 03:05:17.548 | INFO     | __main__:<module>:37 - Training 0.17389638895265225
2021-02-02 03:05:17.548 | INFO     | __main__:<module>:37 - Training 0.17389638895265225
2021-02-02 03:05:17.548 | INFO     | __main__:<module>:37 - Training 0.17389638895265225
2021-02-02 03:11:24.202 | INFO     | __main__:<module>:41 - Validation 0.18739068672274792
2021-02-02 03:11:24.202 | INFO     | __main__:<module>:41 - Validation 0.18739068672274792
2021-02-02 03:11:24.202 | INFO     | __main__:<module>:41 - Validation 0.18739068672274792
2021-02-02 03:47:02.183 | INFO     | __main__:<module>:37 - Training 0.16456335553710855
2021-02-02 03:47:02.183 | INFO     | __main__:<module>:37 - Training 0.16456335553710855
2021-02-02 03:47:02.183 | INFO     | __main__:<module>:37 - Training 0.16456335553710855
2021-02-02 03:47:02.183 | INFO     | __main__:<module>:37 - Training 0.16456335553710855
2021-02-02 03:53:07.807 | INFO     | __main__:<module>:41 - Validation 0.2870291528315533
2021-02-02 03:53:07.807 | INFO     | __main__:<module>:41 - Validation 0.2870291528315533
2021-02-02 03:53:07.807 | INFO     | __main__:<module>:41 - Validation 0.2870291528315533
2021-02-02 03:53:07.807 | INFO     | __main__:<module>:41 - Validation 0.2870291528315533
2021-02-02 04:27:04.322 | INFO     | __main__:<module>:37 - Training 0.15703658569806558
2021-02-02 04:27:04.322 | INFO     | __main__:<module>:37 - Training 0.15703658569806558
2021-02-02 04:27:04.322 | INFO     | __main__:<module>:37 - Training 0.15703658569806558
2021-02-02 04:27:04.322 | INFO     | __main__:<module>:37 - Training 0.15703658569806558
2021-02-02 04:33:01.407 | INFO     | __main__:<module>:41 - Validation 0.25674776767319624
2021-02-02 04:33:01.407 | INFO     | __main__:<module>:41 - Validation 0.25674776767319624
2021-02-02 04:33:01.407 | INFO     | __main__:<module>:41 - Validation 0.25674776767319624
2021-02-02 04:33:01.407 | INFO     | __main__:<module>:41 - Validation 0.25674776767319624
2021-02-02 05:06:27.754 | INFO     | __main__:<module>:37 - Training 0.15021793176198883
2021-02-02 05:06:27.754 | INFO     | __main__:<module>:37 - Training 0.15021793176198883
2021-02-02 05:06:27.754 | INFO     | __main__:<module>:37 - Training 0.15021793176198883
2021-02-02 05:06:27.754 | INFO     | __main__:<module>:37 - Training 0.15021793176198883
2021-02-02 05:12:24.097 | INFO     | __main__:<module>:41 - Validation 0.24075253813563258
2021-02-02 05:12:24.097 | INFO     | __main__:<module>:41 - Validation 0.24075253813563258
2021-02-02 05:12:24.097 | INFO     | __main__:<module>:41 - Validation 0.24075253813563258
2021-02-02 05:12:24.097 | INFO     | __main__:<module>:41 - Validation 0.24075253813563258
2021-02-02 05:47:01.897 | INFO     | __main__:<module>:37 - Training 0.14417128722323075
2021-02-02 05:47:01.897 | INFO     | __main__:<module>:37 - Training 0.14417128722323075
2021-02-02 05:47:01.897 | INFO     | __main__:<module>:37 - Training 0.14417128722323075
2021-02-02 05:47:01.897 | INFO     | __main__:<module>:37 - Training 0.14417128722323075
2021-02-02 05:52:59.006 | INFO     | __main__:<module>:41 - Validation 0.2527690628616902
2021-02-02 05:52:59.006 | INFO     | __main__:<module>:41 - Validation 0.2527690628616902
2021-02-02 05:52:59.006 | INFO     | __main__:<module>:41 - Validation 0.2527690628616902
2021-02-02 05:52:59.006 | INFO     | __main__:<module>:41 - Validation 0.2527690628616902
2021-02-02 06:27:03.581 | INFO     | __main__:<module>:37 - Training 0.13902039066759744
2021-02-02 06:27:03.581 | INFO     | __main__:<module>:37 - Training 0.13902039066759744
2021-02-02 06:27:03.581 | INFO     | __main__:<module>:37 - Training 0.13902039066759744
2021-02-02 06:27:03.581 | INFO     | __main__:<module>:37 - Training 0.13902039066759744
2021-02-02 06:32:56.852 | INFO     | __main__:<module>:41 - Validation 0.2131017191581342
2021-02-02 06:32:56.852 | INFO     | __main__:<module>:41 - Validation 0.2131017191581342
2021-02-02 06:32:56.852 | INFO     | __main__:<module>:41 - Validation 0.2131017191581342
2021-02-02 06:32:56.852 | INFO     | __main__:<module>:41 - Validation 0.2131017191581342
2021-02-02 07:06:24.658 | INFO     | __main__:<module>:37 - Training 0.13504181977364182
2021-02-02 07:06:24.658 | INFO     | __main__:<module>:37 - Training 0.13504181977364182
2021-02-02 07:06:24.658 | INFO     | __main__:<module>:37 - Training 0.13504181977364182
2021-02-02 07:06:24.658 | INFO     | __main__:<module>:37 - Training 0.13504181977364182
2021-02-02 07:12:13.058 | INFO     | __main__:<module>:41 - Validation 0.3300476278840498
2021-02-02 07:12:13.058 | INFO     | __main__:<module>:41 - Validation 0.3300476278840498
2021-02-02 07:12:13.058 | INFO     | __main__:<module>:41 - Validation 0.3300476278840498
2021-02-02 07:12:13.058 | INFO     | __main__:<module>:41 - Validation 0.3300476278840498
2021-02-02 07:45:56.594 | INFO     | __main__:<module>:37 - Training 0.13052455844908628
2021-02-02 07:45:56.594 | INFO     | __main__:<module>:37 - Training 0.13052455844908628
2021-02-02 07:45:56.594 | INFO     | __main__:<module>:37 - Training 0.13052455844908628
2021-02-02 07:45:56.594 | INFO     | __main__:<module>:37 - Training 0.13052455844908628
2021-02-02 07:52:03.489 | INFO     | __main__:<module>:41 - Validation 0.18739068672274792
2021-02-02 07:52:03.489 | INFO     | __main__:<module>:41 - Validation 0.18739068672274792
2021-02-02 07:52:03.489 | INFO     | __main__:<module>:41 - Validation 0.18739068672274792
2021-02-02 07:52:03.489 | INFO     | __main__:<module>:41 - Validation 0.18739068672274792
2021-02-02 08:26:51.163 | INFO     | __main__:<module>:37 - Training 0.1274488332190618
2021-02-02 08:26:51.163 | INFO     | __main__:<module>:37 - Training 0.1274488332190618
2021-02-02 08:26:51.163 | INFO     | __main__:<module>:37 - Training 0.1274488332190618
2021-02-02 08:26:51.163 | INFO     | __main__:<module>:37 - Training 0.1274488332190618
2021-02-02 08:32:47.174 | INFO     | __main__:<module>:41 - Validation 0.22825396322318214
2021-02-02 08:32:47.174 | INFO     | __main__:<module>:41 - Validation 0.22825396322318214
